Interface;logistic.access.integrityservice.IntegrityServiceInterface;1;;;1
Method;logistic.access.integrityservice.IntegrityServiceInterface.getAllIntegrityCategories;;;;
Method;logistic.access.integrityservice.IntegrityServiceInterface.getResult;;;;
Method;logistic.access.integrityservice.IntegrityServiceInterface.verifyIntegrity;;;;
Class;logistic.access.integrityservice.IntegrityServiceProxy;1;;;
Constructor;logistic.access.integrityservice.IntegrityServiceProxy.IntegrityServiceProxy;;;;
Method;logistic.access.integrityservice.IntegrityServiceProxy.getAllIntegrityCategories;;;;
Method;logistic.access.integrityservice.IntegrityServiceProxy.getResult;;;;
Method;logistic.access.integrityservice.IntegrityServiceProxy.verifyIntegrity;;;;
Interface;logistic.access.kernel.ClientInterface;;;;
Method;logistic.access.kernel.ClientInterface.ping;;;;
Class;logistic.access.kernel.CommonServiceLocator;1;;;7
Class;logistic.access.kernel.LocalServiceProxy;;;;
Constructor;logistic.access.kernel.LocalServiceProxy.LocalServiceProxy;;;;
TypeVariable;logistic.access.kernel.LocalServiceProxy.T;;;;
Method;logistic.access.kernel.LocalServiceProxy.getLoginContext;;;;
Method;logistic.access.kernel.LocalServiceProxy.getName;;;;
Method;logistic.access.kernel.LocalServiceProxy.init;;;;
Method;logistic.access.kernel.LocalServiceProxy.readResolve;;;;
Method;logistic.access.kernel.LocalServiceProxy.update;;;;
Interface;logistic.access.kernel.RemoteObservable;;;;
Method;logistic.access.kernel.RemoteObservable.addObserver;;;;
Method;logistic.access.kernel.RemoteObservable.countObservers;;;;
Method;logistic.access.kernel.RemoteObservable.deleteObserver;;;;
Method;logistic.access.kernel.RemoteObservable.deleteObservers;;;;
Method;logistic.access.kernel.RemoteObservable.hasChanged;;;;
Method;logistic.access.kernel.RemoteObservable.notifyObservers;;;;
Interface;logistic.access.kernel.RemoteObserver;;;;
Method;logistic.access.kernel.RemoteObserver.update;1;;;
Class;logistic.access.kernel.ServiceEvent;1;;;
Constructor;logistic.access.kernel.ServiceEvent.ServiceEvent;;;;
Constructor;logistic.access.kernel.ServiceEvent.ServiceEvent;;;;
TypeVariable;logistic.access.kernel.ServiceEvent.T;;;;
Method;logistic.access.kernel.ServiceEvent.getEventData;;;;
Method;logistic.access.kernel.ServiceEvent.getName;;;;
Method;logistic.access.kernel.ServiceEvent.getType;;;;
Method;logistic.access.kernel.ServiceEvent.getUserOfOrigin;;;;
Interface;logistic.access.kernel.ServiceInterface;;;;
Method;logistic.access.kernel.ServiceInterface.getName;;;;
Method;logistic.access.kernel.ServiceInterface.init;;;;
Method;logistic.access.kernel.ServiceInterface.shutdown;;;;
Interface;logistic.access.kernel.ServiceListener;;;;
Method;logistic.access.kernel.ServiceListener.getName;;;;
Class;logistic.access.kernel.ServiceObserver;1;;;
Constructor;logistic.access.kernel.ServiceObserver.ServiceObserver;;;;
Method;logistic.access.kernel.ServiceObserver.update;;;;
Class;logistic.access.kernel.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
Constructor;logistic.access.kernel.ServiceOperationReturn.ServiceOperationReturn;;;;
TypeVariable;logistic.access.kernel.ServiceOperationReturn.T;;;;
Enum Type;logistic.access.kernel.ServiceOperationReturn.Type;;;;
Method;logistic.access.kernel.ServiceOperationReturn.Type.valueOf;;;;
Method;logistic.access.kernel.ServiceOperationReturn.Type.values;;;;
Interface;logistic.access.kernel.ServiceOperationReturnType;1;;;
Interface;logistic.access.kernel.ServiceProxyInterface;1;;;
Interface;logistic.access.localeservice.CommonLocaleServiceInterface;;;;
Method;logistic.access.localeservice.CommonLocaleServiceInterface.getAllPoints;;;;
Method;logistic.access.localeservice.CommonLocaleServiceInterface.getAllPoints;;;;
Method;logistic.access.localeservice.CommonLocaleServiceInterface.getPoint;;;;
Interface;logistic.access.loginservice.LoginServiceInterface;1;;;1
Method;logistic.access.loginservice.LoginServiceInterface.enableLogin;;;;
Method;logistic.access.loginservice.LoginServiceInterface.isLoginEnabled;;;;
Method;logistic.access.loginservice.LoginServiceInterface.login;1;;;
Method;logistic.access.loginservice.LoginServiceInterface.login;;;;
Method;logistic.access.loginservice.LoginServiceInterface.logout;;;;
